model_id,word2vec_mode_type,vector_size,window,min_count,min_cluster_size,min_samples,cluster_selection_epsilon,validity_score,n_clusters
0,CBOW,50,2,2,2,3,0.2,0.617897641178208,3
1,SKIPGRAM,50,2,2,1,6,0.2,0.7281177067118926,3
3,SKIPGRAM,50,2,5,2,7,0.2,0.716554230009649,3
4,CBOW,50,2,10,2,10,0.2,0.5321812020927508,5
5,SKIPGRAM,50,2,10,2,6,0.2,0.7416701241257017,3
6,CBOW,50,5,2,1,13,0.4,0.6602216440572147,3
7,SKIPGRAM,50,5,2,1,3,0.2,0.6192549365105662,4
8,CBOW,50,5,5,7,11,0.0,0.6527130776564478,2
9,SKIPGRAM,50,5,5,6,3,0.0,0.6127245186050545,2
10,CBOW,50,5,10,6,4,0.2,0.6630931612201064,2
11,SKIPGRAM,50,5,10,2,8,0.2,0.7171713610290432,4
12,CBOW,50,10,2,2,7,0.2,0.5978276217161582,3
13,SKIPGRAM,50,10,2,1,15,0.4,0.7393010992810711,2
14,CBOW,50,10,5,2,1,0.2,0.7627821995374989,2
15,SKIPGRAM,50,10,5,3,6,0.2,0.6166819333676312,3
16,CBOW,50,10,10,1,6,0.4,0.7500416135684246,2
17,SKIPGRAM,50,10,10,1,15,0.4,0.7438467624466767,2
18,CBOW,100,2,2,3,5,0.2,0.5823034615024966,2
19,SKIPGRAM,100,2,2,1,9,0.4,0.7563119506487849,2
20,CBOW,100,2,5,3,1,0.2,0.6395225071467543,2
21,SKIPGRAM,100,2,5,3,1,0.2,0.7740309686178264,3
22,CBOW,100,2,10,3,1,0.2,0.7780001027546334,3
23,SKIPGRAM,100,2,10,1,11,0.4,0.76083177800931,2
24,CBOW,100,5,2,7,11,0.0,0.6608859326899406,2
25,SKIPGRAM,100,5,2,1,15,0.4,0.5797892486756311,2
26,CBOW,100,5,5,3,5,0.2,0.645552607615158,2
27,SKIPGRAM,100,5,5,1,15,0.4,0.7473038482693631,3
28,CBOW,100,5,10,1,6,0.2,0.769155094680295,4
29,SKIPGRAM,100,5,10,2,8,0.2,0.7843004641907126,4
32,CBOW,100,10,5,1,14,0.4,0.7754257094415327,3
36,CBOW,200,2,2,5,5,0.0,0.6281153979562825,2
37,SKIPGRAM,200,2,2,1,8,0.2,0.5820247774681075,4
38,CBOW,200,2,5,2,6,0.2,0.6611058773842368,3
39,SKIPGRAM,200,2,5,3,4,0.2,0.6944017237069915,3
40,CBOW,200,2,10,1,1,0.2,0.648555287875007,3
41,SKIPGRAM,200,2,10,2,6,0.2,0.6034423232825699,4
42,CBOW,200,5,2,3,2,0.2,0.6211260968586153,2
43,SKIPGRAM,200,5,2,1,11,0.2,0.6274964815047341,5
44,CBOW,200,5,5,1,12,0.4,0.6495186543028352,3
45,SKIPGRAM,200,5,5,5,15,0.0,0.59590859014067,2
46,CBOW,200,5,10,6,7,0.0,0.6403291242583212,2
47,SKIPGRAM,200,5,10,1,8,0.2,0.638650757273481,5
49,SKIPGRAM,200,10,2,3,13,0.2,0.6739635506134849,3
51,SKIPGRAM,200,10,5,2,1,0.2,0.7422047695465449,2
